City,County,Population,Description,NearbyCities,MainTreeType,Landmark,FocusService
Lansing,DeSoto,,"Lansing tree operations near MYAKKA HEAD PARK in DeSoto County combine ISA BMP reduction cuts with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Pine Level, Platt, Southfort","Royal Palms, Sabal Palms, Live Oaks",MYAKKA HEAD PARK,Root Barrier Installation
Pine Level,DeSoto,,"Pine Level tree operations near MYAKKA HEAD PARK in DeSoto County combine compaction relief with vertical mulching with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Platt, Southfort, Tryon","Black Mangroves, Sabal Palms, Live Oaks",MYAKKA HEAD PARK,Stump Grinding
Platt,DeSoto,,"Platt tree operations near MYAKKA HEAD PARK in DeSoto County combine dynamic cabling & bracing systems with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Southfort, Tryon, Arcadia","Sea Grapes, Royal Palms, Sabal Palms",MYAKKA HEAD PARK,Hazardous Tree Removal
Southfort,DeSoto,,"Southfort tree operations near MYAKKA HEAD PARK in DeSoto County combine ISA BMP reduction cuts with crown reduction using lateral reduction cuts to manage wind sail, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Tryon, Arcadia, Brownville","Sabal Palms, Live Oaks, Royal Palms",MYAKKA HEAD PARK,Canopy Reduction
Hines,Dixie,,"Hines tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine CODIT-informed pruning decisions with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Horseshoe Beach, Old Town, Shamrock","Bald Cypress, Mangroves, Slash Pines",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Emergency Storm Cleanup
Horseshoe Beach,Dixie,,"Horseshoe Beach tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine sonic tomography screening for decay pockets with bud-rot and ganoderma screening with mitigation recommendations, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Old Town, Shamrock, Shired Island","Red Maples, Southern Magnolias, Slash Pines",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Palm Risk Assessment
Old Town,Dixie,,"Old Town tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine compaction relief with vertical mulching with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Shamrock, Shired Island, Suwannee","Mangroves, Longleaf Pines, Bald Cypress",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Tree Health Diagnostics
Shamrock,Dixie,,"Shamrock tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine ISA BMP reduction cuts with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Shired Island, Suwannee, Eugene","Live Oaks, Cabbage Palms, Longleaf Pines",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Structural Pruning
Shired Island,Dixie,,"Shired Island tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine ISA TRAQ-style risk matrix scoring with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Suwannee, Eugene, Jena","Slash Pines, Bald Cypress, Live Oaks",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Root Barrier Installation
Suwannee,Dixie,,"Suwannee tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine target clearance to utility line standards with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eugene, Jena, Fletcher","Red Maples, Live Oaks, Mangroves",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Stump Grinding
Eugene,Dixie,,"Eugene tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine air-spade root collar excavation with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Jena, Fletcher, Jonesboro","Red Maples, Cabbage Palms, Live Oaks",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Hazardous Tree Removal
Jena,Dixie,,"Jena tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine resistograph verification on suspect stems with crown reduction using lateral reduction cuts to manage wind sail, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Fletcher, Jonesboro, Cross City","Longleaf Pines, Red Maples, Southern Magnolias",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Canopy Reduction
Fletcher,Dixie,,"Fletcher tree operations near STEINHATCHEE WILDLIFE MANAGEMENT AREA in Dixie County combine CODIT-informed pruning decisions with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Jonesboro, Cross City, Hines","Bald Cypress, Live Oaks, Red Maples",STEINHATCHEE WILDLIFE MANAGEMENT AREA,Emergency Storm Cleanup
Arlington,Duval,,"Arlington tree operations near SPRINGFIELD PARK in Duval County combine ganoderma butt rot symptom checks on palms with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Atlantic Beach, Avondale, Baldwin","Slash Pines, Mangroves, Bald Cypress",SPRINGFIELD PARK,Palm Risk Assessment
Atlantic Beach,Duval,,"Atlantic Beach tree operations near SPRINGFIELD PARK in Duval County combine ANSI A300 pruning specs with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Avondale, Baldwin, Bayard","Southern Magnolias, Bald Cypress, Longleaf Pines",SPRINGFIELD PARK,Tree Health Diagnostics
Avondale,Duval,,"Avondale tree operations near SPRINGFIELD PARK in Duval County combine CODIT-informed pruning decisions with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Baldwin, Bayard, Beacon Hills","Southern Magnolias, Bald Cypress, Mangroves",SPRINGFIELD PARK,Structural Pruning
Baldwin,Duval,,"Baldwin tree operations near SPRINGFIELD PARK in Duval County combine compaction relief with vertical mulching with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bayard, Beacon Hills, Beauclerc Gardens","Bald Cypress, Mangroves, Cabbage Palms",SPRINGFIELD PARK,Root Barrier Installation
Bayard,Duval,,"Bayard tree operations near SPRINGFIELD PARK in Duval County combine ANSI A300 pruning specs with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Beacon Hills, Beauclerc Gardens, Beverly Hills","Live Oaks, Mangroves, Cabbage Palms",SPRINGFIELD PARK,Stump Grinding
Beacon Hills,Duval,,"Beacon Hills tree operations near SPRINGFIELD PARK in Duval County combine ganoderma butt rot symptom checks on palms with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Beauclerc Gardens, Beverly Hills, Biltmore","Southern Magnolias, Red Maples, Mangroves",SPRINGFIELD PARK,Hazardous Tree Removal
Beauclerc Gardens,Duval,,"Beauclerc Gardens tree operations near SPRINGFIELD PARK in Duval County combine air-spade root collar excavation with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Beverly Hills, Biltmore, Biscayne Village","Slash Pines, Longleaf Pines, Cabbage Palms",SPRINGFIELD PARK,Canopy Reduction
Beverly Hills,Duval,,"Beverly Hills tree operations near SPRINGFIELD PARK in Duval County combine sonic tomography screening for decay pockets with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Biltmore, Biscayne Village, Jacksonville","Mangroves, Red Maples, Southern Magnolias",SPRINGFIELD PARK,Emergency Storm Cleanup
Biltmore,Duval,,"Biltmore tree operations near SPRINGFIELD PARK in Duval County combine compaction relief with vertical mulching with risk-rated pruning and dead-boot removal around targets, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Biscayne Village, Jacksonville, Arlington","Southern Magnolias, Slash Pines, Bald Cypress",SPRINGFIELD PARK,Palm Risk Assessment
Barth,Escambia,,"Barth tree operations near MIRAFLORES PARK in Escambia County combine air-spade root collar excavation with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bay Springs, Pensacola, Ferry Pass","Bald Cypress, Southern Magnolias, Mangroves",MIRAFLORES PARK,Tree Health Diagnostics
Bunnell,Flagler,,"Bunnell tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine ANSI A300 pruning specs with codominant stem reduction and subordinate pruning for stronger unions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Dupont, Espanola, Korona","Live Oaks, Mangroves, Longleaf Pines",WASHINGTON OAKS GARDENS STATE PARK,Structural Pruning
Dupont,Flagler,,"Dupont tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine ganoderma butt rot symptom checks on palms with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Espanola, Korona, Marineland","Cabbage Palms, Slash Pines, Live Oaks",WASHINGTON OAKS GARDENS STATE PARK,Root Barrier Installation
Espanola,Flagler,,"Espanola tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine ISA BMP reduction cuts with full removal of surface roots where trip hazards exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Korona, Marineland, Relay","Cabbage Palms, Mangroves, Red Maples",WASHINGTON OAKS GARDENS STATE PARK,Stump Grinding
Korona,Flagler,,"Korona tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine target clearance to utility line standards with root-plate heave evaluation before controlled removal, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Marineland, Relay, Saint Johns Park","Southern Magnolias, Longleaf Pines, Bald Cypress",WASHINGTON OAKS GARDENS STATE PARK,Hazardous Tree Removal
Marineland,Flagler,,"Marineland tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine ANSI A300 pruning specs with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Relay, Saint Johns Park, Favoretta","Bald Cypress, Slash Pines, Mangroves",WASHINGTON OAKS GARDENS STATE PARK,Canopy Reduction
Relay,Flagler,,"Relay tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine resistograph verification on suspect stems with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Saint Johns Park, Favoretta, Bimini","Red Maples, Bald Cypress, Cabbage Palms",WASHINGTON OAKS GARDENS STATE PARK,Emergency Storm Cleanup
Saint Johns Park,Flagler,,"Saint Johns Park tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine compaction relief with vertical mulching with risk-rated pruning and dead-boot removal around targets, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Favoretta, Bimini, Black Point","Southern Magnolias, Live Oaks, Bald Cypress",WASHINGTON OAKS GARDENS STATE PARK,Palm Risk Assessment
Favoretta,Flagler,,"Favoretta tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine air-spade root collar excavation with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bimini, Black Point, Palm Coast","Bald Cypress, Live Oaks, Mangroves",WASHINGTON OAKS GARDENS STATE PARK,Tree Health Diagnostics
Bimini,Flagler,,"Bimini tree operations near WASHINGTON OAKS GARDENS STATE PARK in Flagler County combine sonic tomography screening for decay pockets with codominant stem reduction and subordinate pruning for stronger unions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Black Point, Palm Coast, Bunnell","Mangroves, Bald Cypress, Red Maples",WASHINGTON OAKS GARDENS STATE PARK,Structural Pruning
Apalachicola,Franklin,,"Apalachicola tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine target clearance to utility line standards with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Carrabelle Beach, Eastpoint, Green Point","Southern Magnolias, Red Maples, Live Oaks",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Root Barrier Installation
Carrabelle Beach,Franklin,,"Carrabelle Beach tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine ISA BMP reduction cuts with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eastpoint, Green Point, Tilton","Slash Pines, Mangroves, Southern Magnolias",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Stump Grinding
Eastpoint,Franklin,,"Eastpoint tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine storm load-path assessment and sail-area management with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Green Point, Tilton, Bay City","Cabbage Palms, Live Oaks, Bald Cypress",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Hazardous Tree Removal
Green Point,Franklin,,"Green Point tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine CODIT-informed pruning decisions with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Tilton, Bay City, Beverly","Southern Magnolias, Live Oaks, Red Maples",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Canopy Reduction
Tilton,Franklin,,"Tilton tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine compaction relief with vertical mulching with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bay City, Beverly, Carrabelle Lighthouse","Cabbage Palms, Mangroves, Bald Cypress",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Emergency Storm Cleanup
Bay City,Franklin,,"Bay City tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine ganoderma butt rot symptom checks on palms with risk-rated pruning and dead-boot removal around targets, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Beverly, Carrabelle Lighthouse, Creels","Bald Cypress, Mangroves, Longleaf Pines",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Palm Risk Assessment
Beverly,Franklin,,"Beverly tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine storm load-path assessment and sail-area management with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Carrabelle Lighthouse, Creels, Eleven Mile","Bald Cypress, Live Oaks, Longleaf Pines",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Tree Health Diagnostics
Carrabelle Lighthouse,Franklin,,"Carrabelle Lighthouse tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine compaction relief with vertical mulching with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Creels, Eleven Mile, Carrabelle","Cabbage Palms, Longleaf Pines, Mangroves",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Structural Pruning
Creels,Franklin,,"Creels tree operations near DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK in Franklin County combine compaction relief with vertical mulching with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eleven Mile, Carrabelle, Apalachicola","Live Oaks, Cabbage Palms, Longleaf Pines",DR JULIAN G BRUCE SAINT GEORGE ISLAND STATE PARK,Root Barrier Installation
Chattahoochee,Gadsden,,"Chattahoochee tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine storm load-path assessment and sail-area management with full removal of surface roots where trip hazards exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Concord, Darsey, Gibson","Longleaf Pines, Slash Pines, Live Oaks",LAKE TALQUIN STATE PARK,Stump Grinding
Concord,Gadsden,,"Concord tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine ANSI A300 pruning specs with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Darsey, Gibson, Greensboro","Slash Pines, Bald Cypress, Live Oaks",LAKE TALQUIN STATE PARK,Hazardous Tree Removal
Darsey,Gadsden,,"Darsey tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine sonic tomography screening for decay pockets with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Gibson, Greensboro, Hardin Heights","Red Maples, Live Oaks, Longleaf Pines",LAKE TALQUIN STATE PARK,Canopy Reduction
Gibson,Gadsden,,"Gibson tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine target clearance to utility line standards with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Greensboro, Hardin Heights, Hardaway","Longleaf Pines, Slash Pines, Southern Magnolias",LAKE TALQUIN STATE PARK,Emergency Storm Cleanup
Greensboro,Gadsden,,"Greensboro tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine CODIT-informed pruning decisions with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hardin Heights, Hardaway, Havana","Southern Magnolias, Live Oaks, Red Maples",LAKE TALQUIN STATE PARK,Palm Risk Assessment
Hardin Heights,Gadsden,,"Hardin Heights tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine target clearance to utility line standards with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hardaway, Havana, Hinson","Live Oaks, Southern Magnolias, Bald Cypress",LAKE TALQUIN STATE PARK,Tree Health Diagnostics
Hardaway,Gadsden,,"Hardaway tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine ISA BMP reduction cuts with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Havana, Hinson, Jamieson","Slash Pines, Longleaf Pines, Red Maples",LAKE TALQUIN STATE PARK,Structural Pruning
Havana,Gadsden,,"Havana tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine ganoderma butt rot symptom checks on palms with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hinson, Jamieson, Quincy","Southern Magnolias, Longleaf Pines, Red Maples",LAKE TALQUIN STATE PARK,Root Barrier Installation
Hinson,Gadsden,,"Hinson tree operations near LAKE TALQUIN STATE PARK in Gadsden County combine ISA BMP reduction cuts with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Jamieson, Quincy, Chattahoochee","Longleaf Pines, Bald Cypress, Live Oaks",LAKE TALQUIN STATE PARK,Stump Grinding
Bell,Gilchrist,,"Bell tree operations near TRENTON STATE PARK in Gilchrist County combine storm load-path assessment and sail-area management with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Little Lake City, Fanning Springs, Waters Lake","Longleaf Pines, Slash Pines, Live Oaks",TRENTON STATE PARK,Hazardous Tree Removal
Little Lake City,Gilchrist,,"Little Lake City tree operations near TRENTON STATE PARK in Gilchrist County combine storm load-path assessment and sail-area management with crown reduction using lateral reduction cuts to manage wind sail, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Fanning Springs, Waters Lake, Wilcox","Bald Cypress, Longleaf Pines, Red Maples",TRENTON STATE PARK,Canopy Reduction
Fanning Springs,Gilchrist,,"Fanning Springs tree operations near TRENTON STATE PARK in Gilchrist County combine storm load-path assessment and sail-area management with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Waters Lake, Wilcox, Lottieville","Slash Pines, Live Oaks, Southern Magnolias",TRENTON STATE PARK,Emergency Storm Cleanup
Waters Lake,Gilchrist,,"Waters Lake tree operations near TRENTON STATE PARK in Gilchrist County combine ANSI A300 pruning specs with risk-rated pruning and dead-boot removal around targets, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Wilcox, Lottieville, Wannee","Bald Cypress, Live Oaks, Slash Pines",TRENTON STATE PARK,Palm Risk Assessment
Wilcox,Gilchrist,,"Wilcox tree operations near TRENTON STATE PARK in Gilchrist County combine target clearance to utility line standards with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lottieville, Wannee, Wilcox Junction","Bald Cypress, Red Maples, Longleaf Pines",TRENTON STATE PARK,Tree Health Diagnostics
Lottieville,Gilchrist,,"Lottieville tree operations near TRENTON STATE PARK in Gilchrist County combine resistograph verification on suspect stems with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Wannee, Wilcox Junction, Craggs","Southern Magnolias, Live Oaks, Slash Pines",TRENTON STATE PARK,Structural Pruning
Wannee,Gilchrist,,"Wannee tree operations near TRENTON STATE PARK in Gilchrist County combine CODIT-informed pruning decisions with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Wilcox Junction, Craggs, Neals","Southern Magnolias, Live Oaks, Bald Cypress",TRENTON STATE PARK,Root Barrier Installation
Wilcox Junction,Gilchrist,,"Wilcox Junction tree operations near TRENTON STATE PARK in Gilchrist County combine resistograph verification on suspect stems with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Craggs, Neals, Trenton","Red Maples, Southern Magnolias, Bald Cypress",TRENTON STATE PARK,Stump Grinding
Craggs,Gilchrist,,"Craggs tree operations near TRENTON STATE PARK in Gilchrist County combine sonic tomography screening for decay pockets with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Neals, Trenton, Bell","Slash Pines, Live Oaks, Red Maples",TRENTON STATE PARK,Hazardous Tree Removal
Benbow,Glades,,"Benbow tree operations near SUGARLAND PARK in Glades County combine ISA TRAQ-style risk matrix scoring with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Buckhead Ridge, Lakeport, Palmdale","Sea Grapes, Royal Palms, Live Oaks",SUGARLAND PARK,Canopy Reduction
Buckhead Ridge,Glades,,"Buckhead Ridge tree operations near SUGARLAND PARK in Glades County combine ISA TRAQ-style risk matrix scoring with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lakeport, Palmdale, Sarasota Colony","Live Oaks, Sea Grapes, Royal Palms",SUGARLAND PARK,Emergency Storm Cleanup
Lakeport,Glades,,"Lakeport tree operations near SUGARLAND PARK in Glades County combine ISA BMP reduction cuts with bud-rot and ganoderma screening with mitigation recommendations, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Palmdale, Sarasota Colony, Shawnee","Royal Palms, Gumbo Limbo, Black Mangroves",SUGARLAND PARK,Palm Risk Assessment
Palmdale,Glades,,"Palmdale tree operations near SUGARLAND PARK in Glades County combine resistograph verification on suspect stems with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Sarasota Colony, Shawnee, Washington Park","Sabal Palms, Gumbo Limbo, Live Oaks",SUGARLAND PARK,Tree Health Diagnostics
Sarasota Colony,Glades,,"Sarasota Colony tree operations near SUGARLAND PARK in Glades County combine resistograph verification on suspect stems with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Shawnee, Washington Park, Goodno","Black Mangroves, Live Oaks, Royal Palms",SUGARLAND PARK,Structural Pruning
Shawnee,Glades,,"Shawnee tree operations near SUGARLAND PARK in Glades County combine ganoderma butt rot symptom checks on palms with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Washington Park, Goodno, Hall City","Black Mangroves, Royal Palms, Live Oaks",SUGARLAND PARK,Root Barrier Installation
Washington Park,Glades,,"Washington Park tree operations near SUGARLAND PARK in Glades County combine dynamic cabling & bracing systems with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Goodno, Hall City, Harrisburg","Royal Palms, Sabal Palms, Live Oaks",SUGARLAND PARK,Stump Grinding
Goodno,Glades,,"Goodno tree operations near SUGARLAND PARK in Glades County combine dynamic cabling & bracing systems with root-plate heave evaluation before controlled removal, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hall City, Harrisburg, Moore Haven","Sabal Palms, Gumbo Limbo, Live Oaks",SUGARLAND PARK,Hazardous Tree Removal
Hall City,Glades,,"Hall City tree operations near SUGARLAND PARK in Glades County combine ganoderma butt rot symptom checks on palms with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Harrisburg, Moore Haven, Benbow","Royal Palms, Live Oaks, Sabal Palms",SUGARLAND PARK,Canopy Reduction
Beacon Hill,Gulf,,"Beacon Hill tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine sonic tomography screening for decay pockets with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Gaskins Still, Lake Grove, Highland View","Slash Pines, Bald Cypress, Southern Magnolias",CONSTITUTION CONVENTION MUSEUM STATE PARK,Emergency Storm Cleanup
Gaskins Still,Gulf,,"Gaskins Still tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine CODIT-informed pruning decisions with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lake Grove, Highland View, Honeyville","Red Maples, Live Oaks, Cabbage Palms",CONSTITUTION CONVENTION MUSEUM STATE PARK,Palm Risk Assessment
Lake Grove,Gulf,,"Lake Grove tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine target clearance to utility line standards with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Highland View, Honeyville, Milltown","Bald Cypress, Slash Pines, Mangroves",CONSTITUTION CONVENTION MUSEUM STATE PARK,Tree Health Diagnostics
Highland View,Gulf,,"Highland View tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine sonic tomography screening for decay pockets with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Honeyville, Milltown, Oak Grove","Longleaf Pines, Slash Pines, Bald Cypress",CONSTITUTION CONVENTION MUSEUM STATE PARK,Structural Pruning
Honeyville,Gulf,,"Honeyville tree operations near CONSTITUTION CONVENTION MUSEUM STATE PARK in Gulf County combine sonic tomography screening for decay pockets with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Milltown, Oak Grove, Port Saint Joe","Cabbage Palms, Red Maples, Mangroves",CONSTITUTION CONVENTION MUSEUM STATE PARK,Root Barrier Installation
